ID_REF,Gene_Symbol,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
3712_s_at,YBL005W-A ,0.013620886,0.003468208,0.010215664000000001,0.007874016,0.02244669,0.007625272,0.011917658999999999,0.011494253999999999,0.012106538,0.013452916,0.020547945,0.010152284000000001,0.010332951,0.004545455,0.013544018,0.006849315,0.013377927,0.006122449,0.008088979,0.005399568,0.038857143,0.0020597320000000003,0.019313304,0.008937438,0.023199024,0.00591716,0.012443438999999999,0.002028398,0.004132231,0.003151261,0.012074643999999999,0.0049443759999999995,0.016483517,0.0068897640000000005,0.006066734,0.010373443000000001
3713_s_at,YBL005W-A ,0.078320093,0.038150288,0.104426786,0.08211474099999999,0.050505053,0.080610022,0.095341273,0.095088825,0.101694912,0.042600900000000004,0.089041099,0.077157356,0.114810571,0.076136366,0.040632054,0.061643839000000006,0.060200669000000005,0.076530613,0.06774519400000001,0.060475159,0.027428572999999998,0.091658078,0.124463521,0.051638529,0.067155071,0.125443786,0.029411765,0.10040567800000001,0.060950412999999995,0.077731095,0.129528001,0.040791098,0.097802199,0.090551175,0.117290191,0.096473023
3714_f_at,YMR045C,5.73439312,5.49017334,5.439273834,4.127109051000001,3.6240179539999997,5.108932495,5.3586130139999995,4.898641586,4.653753281,5.533632755,7.438355923,4.669035435,5.326062202,4.0625,6.243792534,6.61986351,6.908584117999999,6.437755107999999,6.842264652000001,3.7570192810000003,2.213714123,4.959835052,5.799355984,4.251241684,7.945055008,9.594082832,3.443439007,6.672414302999999,5.391529082999999,5.459033966000001,6.39297533,4.729295254,4.335165024,5.523622036,5.571283817,5.72302866
3715_f_at,YAR010C ,4.32122612,6.655491352,5.82519865,4.210348606,4.840628624,4.655773163,4.605633736000001,4.556949138999999,4.740920067,6.556054115,8.6883564,5.738070965,4.089552402,3.7954547410000004,5.7313766479999995,5.41552496,7.742475033,6.464285374,6.084933757999999,3.3272137639999997,1.818285823,4.685890675,5.0482831,2.875869036,7.504273415,9.956212997,2.992081404,7.880324841,6.737603188,6.401260852999999,6.054884911,5.129789829,3.9736266139999996,5.938976765,5.845297812999999,5.852696896
3717_s_at,YBL100W-B ,1.456299663,0.8323699240000001,1.371169209,1.23509562,1.355780125,1.119825721,1.439869881,1.169278979,0.8377723690000001,1.447309613,1.618721485,1.21725893,1.9460392,0.948863685,1.297968388,1.610730648,1.680044532,1.217346907,1.14560163,2.470842361,0.780571461,1.4593201880000002,1.4055794480000001,1.128103256,2.468864441,1.3526628019999998,1.320135713,1.100405693,1.164256096,1.092437029,1.8243688340000002,1.813349724,1.485714316,1.51279521,1.086956501,1.132779956
3718_s_at,YBL100W-B ,1.026106715,0.566473961,0.670828581,0.670416176,1.04826045,0.9498910309999999,0.945828795,0.643678129,0.7130751009999999,1.1401345729999999,0.779680431,0.879187763,1.334098816,0.881818175,0.717832923,0.993150711,1.012263179,0.8816326259999999,0.695652187,1.0118789670000001,0.46057140799999996,1.4191554780000002,1.59012866,0.9215492009999999,2.180708408,0.592899382,0.452488691,0.780933082,0.908057868,0.849789977,1.26015377,1.189122319,1.3054945470000001,1.607283473,0.979777515,0.8070539240000001
3719_s_at,YBL100W-B ,2.0374574659999998,1.612716675,1.8876277209999999,1.690663695,1.7800226209999999,1.79411757,1.7204766269999998,1.2277952429999999,1.319612622,1.500000119,1.553653121,1.241624355,2.245694876,1.7068182230000002,1.8013544080000001,2.045662165,2.7157192230000002,2.20714283,1.690596461,1.6349891419999998,0.9314285520000001,1.947476864,2.4903433319999997,1.46077466,3.206349373,2.123076916,0.9479638340000001,1.852941275,1.6064049009999999,1.430672288,2.300768614,1.4264523980000001,1.81978035,1.958661437,1.4994944330000002,1.397302747
3720_f_at,YBL100W-B ,17.04653931,18.00693512,12.51191902,12.5500555,12.54545593,13.78431416,12.49620819,10.26750278,14.57990456,15.67040539,20.9383564,13.75329876,14.79678631,14.71931934,14.90519142,15.25913239,18.40468216,19.02959251,14.59049511,12.17278576,9.485713959,13.12049389,17.37231636,13.76762676,20.40171051,21.61538506,9.605203629,17.86308479,15.11363602,13.86134434,15.5806818,9.456118584,13.46044064,13.96751976,16.06268883,16.77074623
3721_s_at,YBL100W-B ,1.03178215,0.50289017,0.59818387,0.368953884,0.855218887,1.0,1.085590363,1.034482837,0.43099272299999997,0.884529233,0.706621051,0.596954286,0.777267516,0.650000036,0.6264108420000001,0.511415541,0.8004459740000001,0.777550995,1.260869503,1.95356369,0.205714285,0.684860945,0.578326225,0.43793445799999997,1.172161222,1.1502958540000001,0.589366496,0.909736335,0.86570251,0.84663868,0.6794731620000001,0.499381959,0.490109891,1.075787425,0.49949443299999996,0.664937675
3722_s_at,YBL100W-B ,7.607264519,7.920230865,5.474460602000001,8.427447319,9.955106735,10.74727631,11.52221012,8.616509438,6.445520878,7.04035902,7.866438389,5.419289112,10.26750946,7.968182087000001,10.17945862,12.3789959,11.10144901,10.19999981,9.919109343999999,7.605831146,4.123428345,8.246137619,9.956008911,5.555114746,12.67765617,9.092308044,4.208144665,7.058824062,8.573347092,8.394958496000001,11.60592842,5.2682323460000005,7.0571432110000005,7.524606228,6.105156422,5.597509861
3723_f_at,YBL100W-B ,19.15210152,13.8173399,7.811577797000001,11.05511856,9.54321003,11.95860577,12.04983616,12.84430504,14.43946743,16.91816139,23.84246826,18.41116714,17.1859951,9.779545784,15.18397331,14.26369858,17.44035721,16.39693832,15.63801765,12.06587505,6.477714062,16.67044258,18.17489243,8.248262405,22.55799866,19.20946693,6.973981857,15.51825619,13.68388367,14.88235378,17.00878143,6.690976142999999,15.136264800000001,19.14665413,18.73003006,18.94398117
