Probe_Set_ID,Gene_Symbol
3394_f_at,YDR098C-B 
3395_f_at,YDR034C-D 
3396_f_at,HAP1 
3399_f_at,YBL100W-A 
3403_f_at,PAU10
3406_f_at,HIF1 
3408_f_at,YBL100W-A 
3409_f_at,YBL100W-B 
3410_f_at,YBL100W-B 
3411_f_at,YBL100W-A 
3412_f_at,YAR009C 
3413_f_at,YCL019W 
3414_f_at,YBL100W-B 
3417_f_at,YGR109W-B
3419_f_at,YBL100W-A 
3420_f_at,YBL100W-B 
3424_f_at,YDR098C-B 
3425_f_at,HAP1 
3426_f_at,YAR009C 
3428_f_at,YAR010C 
3430_f_at,YBL100W-B 
3431_f_at,YBL100W-B 
3432_f_at,YBL100W-A 
3435_f_at,YBL100W-A 
3441_f_at,YBR012W-B 
3443_f_at,YBL100W-B 
3445_f_at,YGR109W-B
3452_f_at,YAR010C 
3461_f_at,YAR010C 
3475_f_at,YHL009W-A 
3483_f_at,COS2 
3492_f_at,YAR010C 
3494_f_at,YBL100W-A 
3497_f_at,YBL100W-B 
3498_f_at,YBL100W-B 
3501_f_at,YBL100W-A 
3502_f_at,YBL100W-B
3504_f_at,YBL100W-A 
3509_f_at,YGR109W-B
3511_f_at,YAR010C 
3512_f_at,YBL005W-B
3513_f_at,YAR010C 
3516_f_at,YAR010C 
3517_f_at,YBL005W-B 
3518_f_at,YAR010C 
3524_f_at,YAR009C 
3525_f_at,YCL019W 
3526_f_at,YAR009C 
3527_f_at,YAR010C 
3528_f_at,YAR010C 
3529_f_at,YAR009C 
3530_f_at,YAR010C 
3532_f_at,YAR010C 
3533_f_at,YAR009C 
3534_f_at,YAR010C 
3536_f_at,YGR109W-B
3539_f_at,YGR109W-B
3542_f_at,YBL113C 
3543_s_at,YBL112C 
3547_f_at,YBL100W-A 
3553_f_at,YHL009W-A 
3554_f_at,YHL009W-A 
3555_s_at,YHL009W-B 
3556_s_at,YHL009W-B 
3557_s_at,YHL009W-B 
3558_f_at,YHL009W-A 
3559_f_at,YAR010C 
3563_s_at,YPR108W-A
3564_f_at,YGR109W-B
3570_f_at,YAR010C 
3571_f_at,YAR010C 
3575_f_at,YGR109W-B
3578_f_at,YBL100W-A 
3579_f_at,YBL100W-B 
3580_f_at,YBL100W-B 
3581_f_at,YBL100W-A 
3582_f_at,YAR010C 
3586_f_at,YAR010C 
3587_f_at,YAR009C 
3588_f_at,YAR009C 
3589_f_at,YAR009C 
3590_f_at,YAR010C 
3591_f_at,YBL100W-A 
3592_i_at,YAR010C 
3593_f_at,YAR010C 
3596_f_at,YBL100W-A 
3606_f_at,YAR010C 
3607_f_at,YBL005W-B 
3608_f_at,YAR010C 
3612_f_at,YBL100W-A 
3619_f_at,YBL100W-B 
3620_f_at,YOR192C-B
3621_i_at,YGR109W-B
3622_f_at,YGR109W-B
3623_f_at,YBL100W-A 
3634_f_at,YAR010C 
3635_f_at,YAR010C 
3636_f_at,YAR009C 
3637_f_at,YAR009C 
3638_f_at,YER138C 
3639_f_at,YAR010C 
3646_s_at,YEL077C 
3648_f_at,COS1 
3651_f_at,YAR010C 
3652_f_at,YBL005W-B 
3653_f_at,YAR010C 
3657_f_at,YBL100W-B 
3658_f_at,YDR098C-B 
3659_f_at,YCL019W 
3662_f_at,YGR109W-B
3663_f_at,YHL009W-A 
3665_f_at,YAR009C 
