ID_REF,Gene_Symbol,Sigma,Active_threshold,Mean,Independence,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
7281_at,MMS4,0.09589760324425291,0.5035856758234034,0.5009640612500001,time_independent,0.534619749,0.587283194,0.459704876,0.53880769,0.457912475,0.4215686320000001,0.443120271,0.461860001,0.284503639,0.613228738,0.696347058,0.60101521,0.5315729379999999,0.545454562,0.4864559470000001,0.398401856,0.469342232,0.447959185,0.4742163720000001,0.294816405,0.596571445,0.6446961760000001,0.598712444,0.56802386,0.650793672,0.525443792,0.35067874200000004,0.487829626,0.476239651,0.431722671,0.448957235,0.155747831,0.5659340620000001,0.735236168,0.434782594,0.615145206
8458_at,RTS2,0.14903970561802582,0.5107033774307931,0.500987413861111,time_independent,0.395005673,0.421965301,0.6049942970000001,0.7142857309999999,0.536475897,0.518518507,0.64788729,0.567398131,0.8268765809999999,0.427130044,0.326484025,0.297461927,0.290470719,0.378409088,0.536117375,0.546803653,0.583054602,0.669387698,0.6865520479999999,0.578833699,0.393142879,0.372811526,0.275751084,0.245283037,0.312576324,0.7562130690000001,0.409502268,0.40060854,0.485537171,0.58088237,0.929747522,0.948083997,0.389011025,0.367125988,0.319514662,0.295643151
9000_at,YNL122C,0.2216380001765568,0.5326881221802836,0.5015546650555556,time_independent,1.311010242,0.521387279,0.38138479,0.31271091100000004,0.187429875,0.1949891,0.169014081,0.24660398100000006,0.267554492,0.7130045290000001,0.800228298,0.980710626,0.715269864,0.292045474,0.42776525,0.356164396,0.391304344,0.284693867,0.325581402,0.21598272,0.476571441,0.280123591,0.8100858329999999,0.634558141,0.490842521,0.96449703,0.382352948,0.5841785070000001,0.376033068,0.495798349,0.282107592,0.16810877600000002,0.602197826,0.904527545,0.927199125,0.581950128
8056_at,snR9,0.19753682292795924,0.5240382831386341,0.5017825857222223,time_independent,0.236095339,0.331791908,0.388195246,0.381327361,0.378226727,0.215686262,0.29902491,0.308254957,0.535108984,1.354260206,0.667808235,0.8700507279999999,0.391504019,0.4181818370000001,0.365688503,0.376712322,0.463768095,0.361224502,0.255813926,0.263498902,0.6822857259999999,0.66014415,0.476394862,0.561072528,0.529914558,0.500591695,0.569004536,0.582150161,0.544421494,0.494747907,0.335894644,0.247218773,1.04285717,0.784448802,0.6026288870000001,0.588174224
10351_at,GRC3,0.4828166481833401,0.7758248550258757,0.5020046630833334,time_independent,0.180476725,0.150289014,0.197502837,0.231721044,0.296296299,0.405228764,0.51895988,0.63113898,2.1476998330000003,0.340807199,0.527397275,0.369543165,0.13203215599999998,0.137500003,0.110609479,0.353881299,0.453734696,0.515306115,0.537917078,2.060475111,0.5474286079999999,0.340885669,0.329399139,0.429990083,0.047619049,0.145562127,0.17420814899999998,0.183569998,0.395661145,0.537815154,0.298573017,2.8306550980000003,0.34285715200000005,0.30314961100000004,0.39635995,0.46991697
5129_at,SLD3,0.06017433744603498,0.5028048740846283,0.5021535674722224,time_independent,0.446083993,0.604624271,0.422247469,0.380202472,0.58922559,0.5424836279999999,0.48970747,0.402298868,0.549636841,0.569506764,0.544520557,0.504568517,0.461538494,0.570454597,0.410835236,0.420091331,0.248606458,0.53061223,0.65925169,0.4902807770000001,0.423999965,0.442842424,0.6330472229999999,0.492552131,0.517704546,0.450887561,0.516968369,0.518255591,0.456611574,0.464285731,0.558726728,0.925834358,0.354945064,0.529527545,0.552072763,0.402489603
2411_s_at,UGA4,0.22633116535793046,0.535646385780643,0.5025593147499998,time_independent,0.437003404,0.334104031,0.467650414,0.457817793,0.424242437,0.370370358,0.5633802410000001,0.7513061759999999,1.246973395,0.655829608,0.369863033,0.257868022,0.624569535,0.3034091,0.110609479,0.378995448,0.517279863,0.157142848,0.8260868790000001,0.804535627,0.809142888,0.442842424,0.28218883300000003,0.228401199,0.588522613,0.373964518,0.404977381,0.355983764,0.324380159,0.3981092570000001,0.612513721,0.924598277,0.973626375,0.435039371,0.473205239,0.405601621
2326_s_at,SWR1,0.07131424648663295,0.5037784256517661,0.5026958779444443,time_independent,0.5300794839999999,0.664739847,0.421112359,0.6974128479999999,0.695847392,0.63398695,0.538461506,0.374085695,0.292978227,0.445067286,0.305936068,0.346192867,0.661308885,0.746590912,0.539503396,0.474885851,0.537346721,0.301020414,0.512638986,0.469762415,0.263999999,0.391349107,0.4935622220000001,0.494538248,0.317460328,0.259171605,0.6628959179999999,0.6855983729999999,0.557851255,0.632352948,0.447859496,0.4907292720000001,0.7736263870000001,0.5511810779999999,0.639029324,0.246887937
10782_at,snR128,0.21486349126961968,0.5322335839662805,0.5037884223888888,time_independent,0.393870622,0.550288975,0.486946672,0.553430855,0.398428738,0.35947713299999995,0.430119157,0.318704277,1.006053329,0.720852077,0.312785387,0.527918756,0.363949507,0.618181825,0.5067720410000001,0.442922384,0.3712374570000001,0.2867347,0.344792694,0.222462207,1.443428636,0.511843443,0.5139484999999999,0.468718976,0.412698418,0.590532541,0.582579195,0.369168401,0.321280986,0.342436969,0.380900145,0.498145819,0.938461602,0.403543293,0.534883738,0.607883751
8251_at,SFG1,0.7816170002188682,1.3940801240067098,0.5048219064444446,time_independent,2.03178215,0.114450857,0.18501702,0.120359957,0.05836139200000001,0.072984748,0.01516793,0.022988508,0.33414045,0.253363252,0.27397260100000004,1.382741094,2.206659079,0.094318189,0.246049643,0.023972603,0.018952062,0.04285714,0.056622848,0.230021596,0.191999987,0.334706485,0.931330502,3.071499348,1.134310126,0.031952664,0.035067871,0.087221101,0.041322313,0.031512607000000005,0.019758508,0.315203935,0.073626377,0.311023623,0.989888728,2.788381338
