Identify_A,Identify_B
uniprotkb:P53266,uniprotkb:P40452
uniprotkb:P53266,uniprotkb:P40452
uniprotkb:P00401,uniprotkb:P40452
uniprotkb:P19073,uniprotkb:Q06648
uniprotkb:Q06407,uniprotkb:P25693
uniprotkb:Q06407,uniprotkb:P24867
uniprotkb:Q12477,uniprotkb:Q06407
uniprotkb:A6ZT25,uniprotkb:Q04922
uniprotkb:P52891,uniprotkb:Q99257
uniprotkb:P52891,uniprotkb:P34232
uniprotkb:P53011,uniprotkb:P34232
uniprotkb:P53011,uniprotkb:Q99257
uniprotkb:P52891,uniprotkb:P46673
uniprotkb:P52891,uniprotkb:P53011
uniprotkb:P52891,uniprotkb:Q04491
uniprotkb:P22213,uniprotkb:P41834
uniprotkb:P22213,uniprotkb:P41834
uniprotkb:P41834,uniprotkb:P22213
uniprotkb:P16474,uniprotkb:P53324
uniprotkb:P53324,uniprotkb:P32915
uniprotkb:P53324,uniprotkb:P16474
uniprotkb:A6ZYI3,uniprotkb:Q12255
uniprotkb:A6ZYI3,uniprotkb:P27801
uniprotkb:A6ZYI3,uniprotkb:P11491
uniprotkb:A6ZYI3,uniprotkb:P18759
uniprotkb:A6ZYI3,uniprotkb:Q12241
uniprotkb:A6ZYI3,uniprotkb:P32912
uniprotkb:A6ZYI3,uniprotkb:Q03308
uniprotkb:A6ZYI3,uniprotkb:P20795
uniprotkb:A6ZYI3,uniprotkb:Q04338
uniprotkb:Q12230,uniprotkb:Q03407
uniprotkb:Q12236,uniprotkb:Q12230
uniprotkb:P52891,uniprotkb:P49687
uniprotkb:P52891,uniprotkb:Q99257
uniprotkb:P52891,uniprotkb:P36161
uniprotkb:P52891,uniprotkb:P35729
uniprotkb:P52891,uniprotkb:Q99257
uniprotkb:P52891,uniprotkb:P34232
uniprotkb:Q02630,uniprotkb:Q99257
uniprotkb:Q02630,uniprotkb:P34232
uniprotkb:P40433,uniprotkb:Q00955
uniprotkb:P40433,uniprotkb:Q08981
uniprotkb:P40433,uniprotkb:Q04412
uniprotkb:P40433,uniprotkb:P40529
uniprotkb:P40433,uniprotkb:P40563
uniprotkb:P40433,uniprotkb:P38080
uniprotkb:P40433,uniprotkb:P54115
uniprotkb:P40433,uniprotkb:P43633
uniprotkb:P40433,uniprotkb:P47029
uniprotkb:P40433,uniprotkb:Q99186
uniprotkb:P40433,uniprotkb:P53974
uniprotkb:P40433,uniprotkb:P47117
uniprotkb:P40433,uniprotkb:P53244
uniprotkb:P40433,uniprotkb:P48361
uniprotkb:P40433,uniprotkb:Q12527
uniprotkb:P40433,uniprotkb:Q06628
uniprotkb:P40433,uniprotkb:P50944
uniprotkb:P40433,uniprotkb:Q12365
uniprotkb:P40433,uniprotkb:Q01389
uniprotkb:P40433,uniprotkb:P33306
uniprotkb:P40433,uniprotkb:P47113
uniprotkb:P40433,uniprotkb:P40013
uniprotkb:P40433,uniprotkb:P16474
uniprotkb:P40433,uniprotkb:P29311
uniprotkb:P40433,uniprotkb:P34730
uniprotkb:P40433,uniprotkb:P53858
uniprotkb:P40433,uniprotkb:P53890
uniprotkb:P40433,uniprotkb:P40450
uniprotkb:P40433,uniprotkb:P38041
uniprotkb:P40433,uniprotkb:P39969
uniprotkb:P40433,uniprotkb:P53958
uniprotkb:P40433,uniprotkb:P26448
uniprotkb:P40433,uniprotkb:P48524
uniprotkb:P40433,uniprotkb:Q03758
uniprotkb:P40433,uniprotkb:P17555
uniprotkb:P40433,uniprotkb:P04821
uniprotkb:P40433,uniprotkb:P53197
uniprotkb:P40433,uniprotkb:P38265
uniprotkb:P40433,uniprotkb:Q01649
uniprotkb:P40433,uniprotkb:P27895
uniprotkb:P40433,uniprotkb:Q12145
uniprotkb:P40433,uniprotkb:P38892
uniprotkb:P40433,uniprotkb:P15790
uniprotkb:P40433,uniprotkb:P19454
uniprotkb:P40433,uniprotkb:Q12734
uniprotkb:P40433,uniprotkb:P08678
uniprotkb:P40433,uniprotkb:Q05080
uniprotkb:P40433,uniprotkb:Q07533
uniprotkb:P40433,uniprotkb:P06634
uniprotkb:P40433,uniprotkb:Q03063
uniprotkb:P40433,uniprotkb:Q03373
uniprotkb:P40433,uniprotkb:P40059
uniprotkb:P40433,uniprotkb:P38213
uniprotkb:P40433,uniprotkb:P53063
uniprotkb:P40433,uniprotkb:P53208
uniprotkb:P40433,uniprotkb:P38167
uniprotkb:P40433,uniprotkb:Q03653
uniprotkb:P40433,uniprotkb:Q07872
uniprotkb:P40433,uniprotkb:Q04660
uniprotkb:P40433,uniprotkb:P32353
uniprotkb:P40433,uniprotkb:Q03898
uniprotkb:P40433,uniprotkb:P40020
uniprotkb:P40433,uniprotkb:P40068
uniprotkb:P40433,uniprotkb:P22007
uniprotkb:P40433,uniprotkb:P53739
uniprotkb:P40433,uniprotkb:Q03002
uniprotkb:P40433,uniprotkb:P00358
uniprotkb:P40433,uniprotkb:P00359
uniprotkb:P40433,uniprotkb:P04386
uniprotkb:P40433,uniprotkb:P43574
uniprotkb:P40433,uniprotkb:Q01722
uniprotkb:P40433,uniprotkb:Q06648
uniprotkb:P40433,uniprotkb:Q12263
uniprotkb:P40433,uniprotkb:P40036
uniprotkb:P40433,uniprotkb:Q03016
uniprotkb:P40433,uniprotkb:P39732
uniprotkb:P40433,uniprotkb:Q04233
uniprotkb:P40433,uniprotkb:P18494
uniprotkb:P40433,uniprotkb:P40956
uniprotkb:P40433,uniprotkb:P48566
uniprotkb:P40433,uniprotkb:Q12753
uniprotkb:P40433,uniprotkb:P38970
uniprotkb:P40433,uniprotkb:Q05580
