Identify_A,Identify_B
P40433,P38766
P40433,P05759
P40433,P05750
P40433,P39940
P40433,P53330
P40433,P32608
P40433,P53289
P40433,P17121
P40433,P53969
P40433,P39955
P40433,P38814
P40433,P48415
P40433,P30619
P40433,P34228
P40433,Q04279
P40433,P34250
P40433,Q06058
P40433,P20134
P40433,P38200
P40433,P11978
P40433,P25294
P40433,P34226
P40433,P32790
P40433,Q12098
P40433,Q04007
P40433,P06782
P40433,P25357
P40433,P40317
P40433,P32380
P40433,P33419
P40433,Q03868
P40433,P23615
P40433,P36167
P40433,P11484
P40433,P40150
P40433,P24276
P40433,P46679
P40433,P36085
P40433,P38198
P40433,P53598
P40433,Q03088
P40433,P43554
P40433,Q06836
P40433,P48606
P40433,P40328
P40433,Q08921
P40433,P40045
P40433,P36165
P40433,P34219
P40433,P32356
P40433,P35172
P40433,P34760
P40433,P39538
P40433,P39001
P40433,Q02354
P40433,P25591
P40433,P40463
P40433,P34761
P40433,Q07655
P40433,P40489
P40433,P14680
P40433,Q3E7Y5
P40433,P38321
P40433,Q05497
P40433,P34225
P40433,P50089
P40433,P38899
P40433,P38750
P40433,P38809
P40433,P40497
P40433,Q07895
P40433,Q99296
P40433,P54072
P40433,Q06251
P40433,P39523
P40433,P53719
P40433,P53757
P40433,Q12040
P40433,P34161
P40433,Q12531
P40433,Q12152
P40433,Q12523
P40433,P32793
P40433,Q06224
P40433,Q06681
P40433,P47043
P40433,P50111
P38307,P38307
P38307,Q05787
P38307,Q08109
P38307,P25694
P38307,Q03714
P38307,Q04228
P38307,Q99220
P38307,P33755
P38307,P53044
Q12743,Q12743
Q12743,Q04228
Q12743,P33755
Q12743,P16474
Q12743,Q08109
Q12743,Q99220
Q12743,Q03714
Q12743,P34223
Q12743,P25694
Q12743,Q05787
Q12743,P38349
P53044,Q12743
Q12743,P34223
P53044,P38307
Q12743,P38349
P52490,P40210
P40210,P53152
P40343,P38753
P40348,P38629
Q06679,P40362
P40363,P40363
P14907,P40368
P35729,P40368
P40368,P40368
P40368,Q02630
P40414,P40414
P40433,Q08748
P40463,P26570
P40463,P36076
P40469,P38829
P19807,P40474
P32465,P40474
P40474,P32568
P40474,P33302
P35735,P40474
P36027,P40474
P40474,P38234
P40474,P40474
P50276,P40474
P40474,Q02785
P40474,Q03640
Q06689,P40474
P40474,Q07824
P40474,Q3E756
P40477,P40064
