From,To
P40344,ATG3
P38182,ATG8
P32585,SRB5
P19659,GAL11
Q08278,MED7
P32570,SRB6
P47822,SRB7
P38304,MED8
P40356,PGD1
P38633,SOH1
P05317,RPP0
P33308,CSE2
Q12124,MED2
P25046,ROX3
Q12321,MED1
P38077,ATP3
P02994,TEF1
P02994,TEF2
P39073,SSN3
P53114,NUT1
P32259,SIN4
P34162,SRB2
P19263,RGR1
Q12343,MED4
P17255,VMA1
P32776,TFB1
P36145,TFA2
P06242,KIN28
P0CG63,UBI4
Q08553,SYC1
P38886,RPN10
Q12287,COX17
P27882,ERV1
P08417,FUM1
P00445,SOD1
P53299,TIM13
P36078,HOT13
P47050,RTT101
P15731,UBC4
P06104,RAD6
P14682,CDC34
P15873,POL30
Q08226,CRT10
Q06211,MMS1
Q06164,MMS22
Q04373,PUF6
P15646,NOP1
P38925,SMF1
P02829,HSP82
P30656,PRE2
P43583,BLM10
P38737,ECM29
P06783,STE3
P38257,MMS4
Q04149,MUS81
P18409,MDM10
Q92328,MDM12
P41800,MMM1
P50110,SAM37
P40161,RTT106
P06701,SIR3
Q06103,RPN7
P32496,RPN12
P53196,RPN14
P03069,GCN4
P48582,BRO1
P32571,DOA4
P27614,CPS1
P52286,SKP1
Q12018,CDC53
Q92325,LAG2
Q08273,HRT1
Q12395,DCN1
Q03919,RUB1
P53866,SQS1
A6ZQD9,PHO90
P41543,OST1
P25344,STE50
P43573,BUD27
P26784,RPL16A
P32527,ZUO1
P25443,RPS2
P20459,SUI2
P36008,TEF4
P34756,FAB1
P53950,VAC7
P42837,FIG4
Q03406,SLD5
Q01454,CTF4
P20457,PRI2
P13382,POL1
P53840,TOF1
Q08032,CDC45
P25588,MRC1
Q12146,PSF3
P02294,HTB2
P38132,MCM7
P24279,MCM3
P38121,POL12
P40359,PSF2
P10363,PRI1
P02293,HTB1
P30665,MCM4
Q04659,CSM3
Q12488,PSF1
P48510,DSK2
P40087,DDI1
Q04658,SMA2
Q07732,ADY3
P53541,SPO1
Q08496,DIA2
P29469,MCM2
P38827,SET1
P38337,SHG1
P39706,SWD1
Q03012,SPP1
P00729,PRC1
P32854,PEP12
P38967,TAT2
P38170,BRN1
P07866,LTE1
P32657,CHD1
P53946,ARP5
P25628,ARE1
P53629,ARE2
P48562,CLA4
P14291,RED1
Q12306,SMT3
P31111,ZIP1
P20050,HOP1
P15891,ABP1
P35056,PEX5
P53933,APP1
Q08873,SCP1
P36006,MYO3
P32521,PAN1
P11710,FUS1
P32917,STE5
P36037,DOA1
P38140,ERT1
Q12510,CMR1
P38266,AIM3
P33400,RIM101
P53281,LSB1
Q06604,BSP1
P25604,STP22
Q12164,POM33
Q08229,NBA1
P32863,RAD54
P53169,YBP2
P53955,SLM2
Q06833,YPR091C
P47129,ACF4
P38870,YHR182W
P40095,YER158C
Q12344,GYP5
P40483,YIL108W
P53750,YNR064C
Q03780,YDR239C
P39927,PTI1
P53345,YRF1-3
P53345,YRF1-7
P53153,LCL3
P39939,RPS26B
Q03796,TPP1
P32490,MKK1
P36102,PAN3
P39938,RPS26A
P40453,UBP7
P39081,PCF11
P14242,PMS1
P34227,PRX1
Q12179,YPL245W
P38692,KIC1
P08458,SPS1
P43614,KEG1
Q03897,MTC5
P53279,FHN1
P07271,PIF1
P40021,ZRG8
P50076,DIE2
P32581,IME2
P47022,YJL118W
Q05549,HRQ1
P40989,GSC2
P54199,MPS1
P25374,NFS1
P04802,DPS1
Q07799,LMO1
P42884,AAD14
P53318,COQ6
P18900,COQ1
P38128,SMP1
Q07451,YET3
P40986,CDC1
Q06412,TUS1
P40187,PIG2
Q03508,YMR265C
P16661,ALG1
Q03018,ESP1
P32526,KAR9
Q03770,SSY1
P49095,GCV2
P24482,DPB2
P33334,PRP8
P47075,VTC4
P47101,YJR030C
P50275,ASE1
Q08989,YPL277C
Q08912,YOR389W
Q08172,YOL024W
Q99312,ISN1
O13535,TY1B-H
P39564,YAR068W
Q7LHG5,TY3B-I
P43585,VTC2
Q02725,VTC3
P32893,TRS65
P39977,YEL068C
P40012,HEM14
P32481,GCD11
P34758,SCD5
P40325,HUA1
Q12229,UBX3
P47150,RSM7
P39960,BEM2
Q08157,YOL019W
P54786,ZDS2
P32873,BEM3
P36070,RRN3
P40574,YAP5
P25389,KCC4
P39943,MIG3
Q06683,IRC3
P38746,YLF2
Q12027,YDL176W
Q12400,TRM10
P22580,AMD2
Q12342,LDB17
P23394,PRP28
P40519,YIL060W
P21734,UBC1
P53753,DSE4
Q08683,APC5
Q07505,YDL086W
P31244,RAD16
Q12166,LEU9
P38181,NUP170
Q04329,ICY1
P36080,RRP14
P47032,PRY1
Q05924,DCR2
Q02875,SYH1
P18480,SNF5
P36141,FMP46
Q08970,MMT2
P32909,SMY2
Q03466,EBS1
Q12498,PRM4
Q08216,YOL046C
P32337,PSE1
P36042,YKL202W
Q8TGK8,YPR160C-A
P25580,PBN1
Q04093,YDR444W
Q04053,SNX41
Q12469,SKM1
Q6Q572,YMR031W-A
P39935,TIF4631
Q06538,CSC1
P32463,ACP1
Q07534,HEM25
P38270,ATG14
P53118,ROG1
P25652,YCR087W
Q04749,AVO2
P36122,BCH2
P10566,MRS3
A0A023PXP4,YLR235C
Q8TGK9,YPL135C-A
P40352,RAD26
P38289,EXO5
P24814,GRR1
Q08984,YPL272C
Q12153,SSF2
P38789,SSF1
Q12071,VPS54
Q12267,SMC4
P39722,GEM1
P29539,RIF1
P53953,SFB2
P37254,ABZ1
Q12316,TY1B-GR3
Q12112,TY1B-NL1
Q12490,TY1B-BL
Q12193,TY1B-BR
Q04214,TY1B-MR1
Q03619,TY1B-ER2
P53882,TDA7
P04050,RPO21
P40085,EMP65
Q03691,ROT1
P41696,AZF1
A0A023PZD0,YFR036W-A
P32775,GLC3
P07149,FAS1
P28584,TRK2
Q04636,POB3
P38351,PAF1
P40351,ALG8
P41832,BNI1
P07245,ADE3
P38224,FIG1
P32621,GDA1
P14772,BPT1
P47114,YJR054W
Q02606,YPL014W
P39521,FHL1
A0A023PXA5,YAL019W-A
Q12069,PUS9
P50077,CCH1
P41833,IME4
P09119,CDC6
P36531,MRPL36
Q03233,ADD37
P53037,PSD2
Q08957,AFT2
P41695,BUB1
P38110,TEL1
Q06466,TDA6
P53285,VPS62
P42223,SBE2
P53260,GTF1
P06773,DCD1
P33550,KTR2
Q03707,SRC1
Q02651,SMA1
P47136,BUD4
Q04195,SIZ1
P38742,NPR3
P37298,SDH4
P39944,UBP5
P36061,YKL147C
P39113,CAT8
Q12346,YPR071W
P40364,MPM1
P48567,PUS4
Q12150,CSF1
P38129,TAF5
Q12243,YOR029W
Q08745,RPS10A
P46784,RPS10B
P00498,HIS1
P53161,YGL072C
P39535,PHO90
Q01846,MDM1
Q12412,PNS1
Q3E7Z0,YNL277W-A
Q12039,HMI1
P47030,TAX4
Q12532,RQC2
P53331,RNH70
P09368,PUT1
P22543,VPS34
Q08003,RFU1
P39965,AIM10
Q06315,SKG3
P16892,FUS3
Q06685,VIP1
P17442,PHO81
P31380,FUN30
P22516,CHL1
Q12180,HAL9
P38274,HSL7
P35198,MTH1
P33200,PDR3
Q02794,STD1
P25657,YCR099C
Q12674,DNF3
P14064,HAP4
P35688,LRG1
P05735,RPL19A
P05735,RPL19B
P25368,RRP7
Q01684,SPR6
P40460,NDC80
P39541,YJL195C
P47152,YJR115W
Q08236,AVO1
P39112,DSS1
Q07887,LDB18
Q99222,AFI1
Q06163,EST2
Q04781,RKR1
Q06640,YDR306C
P36172,VBA5
P33304,AFR1
P32457,CDC3
P28817,EHD3
P32604,FBP26
P53091,MCM6
Q07878,VPS13
Q06385,VPS74
P47115,YJR056C
P40355,YJR061W
Q04018,YMR244W
P53857,YNL234W
Q99299,AIM44
P27637,BUD14
P50082,AMA1
P48525,MSE1
P42073,REF2
Q00416,SEN1
P36155,YKR075C
Q04364,PEX9
Q04847,ROY1
P36025,YOR062C
P18961,YPK2
P53268,YGR114C
Q12440,APC2
P38995,CCC2
P33307,CSE1
P21657,DAL81
Q05670,FUS2
P13181,GAL2
P47013,LCB3
P25369,LSB5
P40550,PDR11
P53203,PEX31
P32945,PPQ1
P38863,SPC97
Q07798,SPO75
P38085,TAT1
P40308,TGL3
Q07963,UBR2
P38735,VMR1
P31379,LDS1
P90471,YBR109W-A
P25620,YCR022C
P87282,YDR271C
P47077,NOP9
Q06417,TDA5
Q04263,YML002W
Q04263,YML003W
Q02887,ATG21
P32639,BRR2
Q12432,EAF3
P18963,IRA1
P32333,MOT1
P46970,NMD5
P53860,PDR16
P40438,VTH1
P40091,PEA2
Q04436,YMR103C
Q08729,DSE3
P32491,MKK2
P16861,PFK1
Q08562,ULS1
O13588,YAL069W
P43541,YFL063W
P47188,YJR162C
Q08206,YOL036W
Q02207,FOX2
Q12245,POC4
P10080,SBP1
P38187,UBP13
P40341,YTA12
P53943,AQR1
P30822,CRM1
P32525,ECM25
P16151,ERD1
Q03081,MET31
Q08673,SRL1
P46676,SUM1
Q07349,MRX9
Q12239,YOL107W
Q06839,YPR097W
P24088,YRF1-1
P24088,YRF1-5
P24088,YRF1-8
Q12518,ENT1
Q12134,HUA2
P53745,MNT4
Q03306,PKH3
Q12334,SCM3
P42942,YGR210C
Q08182,YAP7
P00927,ILV1
P50091,PEX21
P53334,SCW4
Q04748,SOV1
Q07834,YLL032C
Q03833,GIS1
P53201,SWC4
Q08975,THI21
P07806,VAS1
Q3E791,YAL063C-A
Q3E774,YDL159W-A
P43596,IOC3
P38712,RRP3
P38114,TBS1
A0A023PYF7,YER172C-A
P53077,MTC3
Q03673,AIM34
P38844,DSE2
Q07454,YDL073W
P38065,APL3
P32266,MGM1
P24583,PKC1
P02400,RPP2B
P24813,CAD1
P53894,CBK1
P32378,COQ2
Q12072,IOC2
Q12019,MDN1
P36084,MUD2
P36118,NTR2
P31376,SWC3
Q12052,TGS1
P25606,YCR100C
Q12424,YDL206W
Q04411,URC2
P53831,YNL285W
Q08911,FDH1
Q04739,GAL83
Q01477,UBP3
P34216,EDE1
P40069,KAP123
Q12502,LDB19
P38111,MEC1
P40578,MGA2
Q02455,MLP1
P06777,RAD1
P33757,SPO23
P54787,VPS9
P25574,EMC1
Q12144,PER33
P40218,YMR147W
P53907,YNL144C
P19211,ANB1
Q00362,CDC55
P40038,PCL6
P47821,SSN8
P53060,RMR1
P47094,YJR023C
P47177,YJR149W
P32860,NFU1
Q12458,YPR1
P40077,DSE1
P54862,HXT11
P40054,SER3
P36007,SRY1
Q03935,YAP6
Q07442,BDF2
P43634,CHA4
P28006,GAC1
P41913,GDS1
P06774,HAP2
Q02516,HAP5
P25367,RNQ1
P53824,SNZ2
P43545,SNZ3
P54003,SUR7
Q04767,TVP18
Q12426,YDR010C
Q04562,TMN2
P53633,YIP3
Q12259,YLR108C
P10869,HOM3
Q07949,PSR2
Q12479,IRC11
P32501,GCD6
Q06817,GRS2
P32902,MRP4
P43582,WWM1
P33330,SER1
Q99341,FYV1
P32486,KRE6
P22149,AFT1
P34252,SLD2
Q3E747,YLR363W-A
P13090,ATR1
P47008,SFH5
P35190,CLG1
P40422,RPC10
P22139,RPB10
P34087,RPB7
P20433,RPB4
P20436,RPB8
P41895,TFG1
P49334,TOM22
P12385,SUP45
Q05775,HCR1
Q12389,DBP10
P22217,TRX1
P06169,PDC1
P22517,CMK2
Q08907,FIT3
P06633,HIS3
P38197,YBL036C
O43137,YBR085C-A
P53218,POP6
P38291,POP7
P40498,UTP25
P47083,MPP10
P25359,RRP43
Q12136,SAS10
P38879,EGD2
Q04477,SPC24
P40014,SPC25
P53148,SPC105
P16451,PDX1
Q12030,TAF10
Q05021,TAF7
P35177,SPT7
Q12060,HFI1
P22276,RET1
P35817,BDF1
Q02336,ADA2
Q12297,TAF3
P50105,TAF4
Q04226,TAF11
P53165,SGF73
Q05027,TAF9
P32494,NGG1
P40548,SNL1
P50875,SPT20
Q03330,GCN5
Q12159,YRA1
P38915,SPT8
P06844,SPT3
Q03067,SGF11
Q03750,TAF8
P23255,TAF2
P25558,BUD3
P00360,TDH1
P43579,IES1
P38851,LAM1
P29547,CAM1
P38987,TEM1
P39015,STM1
P36100,TFA1
P49166,RPL37A
Q04779,RCO1
Q03290,TFB3
Q12004,TFB4
Q04673,SSL1
P21269,CCA1
Q02939,TFB2
Q3E7C1,TFB5
P06839,RAD3
Q06339,TFC6
P32367,TFC1
Q12308,TFC8
P34111,TFC3
P33339,TFC4
P35178,RRP1
Q03973,HMO1
P14832,CPR1
P48836,VMA10
P16140,VMA2
P53552,THO2
O13539,THP2
P33441,MFT1
P38070,YPK3
P10081,TIF1
P10081,TIF2
P16521,YEF3
Q07959,IZH3
Q12099,FAL1
P47171,HIR3
P04912,HTA2
P39987,ECM10
Q06440,CRN1
P07246,ADH3
Q06705,CSR1
P53226,BUD9
P32497,NIP1
Q04067,TIF35
P40217,TIF34
P06103,PRT1
P07260,CDC33
P38431,TIF5
P27654,TIP1
P33315,TKL2
P23254,TKL1
P52910,ACS2
P32773,TOA1
P32774,TOA2
P42847,MRPS18
Q12275,YOR093C
P43607,RRT5
Q12284,ERV2
Q02208,TOF2
P53141,MLC1
Q03280,TOM1
P38788,SSZ1
P15108,HSC82
P04786,TOP1
P38237,UBP14
Q02209,YKR011C
P23595,PPH22
P23594,PPH21
Q12461,RRD2
P38147,CHK1
Q00764,TPS1
P31688,TPS2
P38427,TSL1
P53632,PAP2
P47047,MTR4
Q12476,AIR2
Q06704,IMH1
P15565,TRM1
Q12009,TRM8
Q03774,TRM82
P04806,HXK1
P00937,TRP3
P28240,ICL1
P38816,TRR2
P29509,TRR1
Q04183,TRS120
Q99394,TRS33
P36149,BET3
Q03784,TRS23
Q03337,TRS31
Q07381,TSR1
P42846,KRI1
P37263,YCR087C-A
Q12080,NOP53
P38934,BFR1
P05755,RPS9B
P38228,TCM62
P38152,CTP1
P40160,RIO2
P09734,TUB3
P09733,TUB1
P53378,TUB4
P36421,TYS1
P32377,MVD1
P22515,UBA1
Q04033,YDR415C
P31373,CYS3
P52488,UBA2
Q06624,AOS1
P38820,UBA4
P46655,GUS1
P15732,UBC5
P28263,UBC8
P25037,UBP1
Q12224,RLM1
P24384,PRP22
P40850,MKT1
P53254,UTP22
P25382,RSA4
P53317,NOP19
P43535,GCN20
P33322,CBF5
P36026,UBP11
P53104,ATG1
P29478,SEC65
P40019,CHZ1
Q99247,DUF1
P50101,UBP15
P46674,SAC3
P39990,SNU13
Q12460,NOP56
P21954,IDP1
P38192,RRT1
P33751,PAD1
Q06673,ECM30
Q01476,UBP2
Q12242,RUP1
P38972,ADE6
Q08245,ZEO1
P18899,DDR48
P25615,POL4
P46944,TRS85
P35169,TOR1
P38316,ATG12
Q03818,ATG16
Q12380,ATG5
P53622,COP1
P14540,FBA1
P00560,PGK1
P40458,ATG32
I6LAD1,ATG30
Q8NJJ4,ATG8
Q92262,PEX3
Q9C438,ATG11
P46983,ATG36
P06838,RAD10
P39735,SAW1
P15436,POL3
Q03694,INP1
P35193,ATG19
P14904,APE1
Q12292,ATG34
P33301,XRS2
P32829,MRE11
P12753,RAD50
Q12050,ELG1
P43618,CNN1
P40568,DSN1
P39731,MTW1
Q12143,NSL1
Q03790,NUP53
P32835,GSP1
P38297,FZO1
P38523,MGE1
P16547,OM45
P53507,TOM7
P38736,GOS1
P23644,TOM40
P22855,AMS1
P29496,MCM5
P39995,EAF5
Q06337,EAF1
P38811,TRA1
P53930,YAF9
P80428,ARP4
P47128,EAF6
P43572,EPL1
P60010,ACT1
P38806,YNG2
Q08649,ESA1
P53911,EAF7
P22579,SIN3
P32561,RPD3
P40505,SDS3
P50947,PHO23
P10961,HSF1
P43565,RIM15
P53897,IGO1
P40576,INA22
P07251,ATP1
P00830,ATP2
Q12165,ATP16
Q02888,INA17
P07253,CBP6
P30902,ATP7
P05626,ATP4
P37267,CBP4
P21560,CBP3
P09457,ATP5
Q3E7B2,COA3
P09032,GCD1
Q05791,CDC123
P27616,ADE1
P37898,AAP1
C8Z3H3,EC1118_1A20_0804g
O60200,MDM35
Q05776,UPS1
P35200,UPS2
Q04006,UPS3
P06787,CMD1
P48240,MTR3
Q08285,RRP40
P46948,SKI6
Q08162,DIS3
Q05636,RRP45
P53256,RRP46
P40342,SWM2
P38352,SAF1
P07834,CDC4
P47015,AIM23
P47005,DAS1
P41920,YRB1
P11745,RNA1
P32602,SEC17
P35187,SGS1
Q02685,RMI1
P13099,TOP3
P38873,KOG1
Q02783,MFM1
Q01926,MRS2
P0C2J0,TY1B-PR2
A6ZPY2,TMA22
A6ZN26,NIP1
A6ZUA1,DBP3
P0C2H9,RPL31B
A6ZZ25,TIF35
A6ZMA9,ERB1
P0C2H6,RPL27A
A6ZMK5,TIF34
A6ZPJ1,PRT1
A6ZRX0,DBP2
A6ZQJ1,TIF1
A6ZQJ1,TIF2
A7A0V3,RPS0B
A6ZPE5,NOP58
A6ZXG9,DHH1
Q04711,TY1B-ML1
A6ZP47,DED1
P05030,PMA1
P09064,SUI3
P48589,RPS12
P40185,MMF1
P35691,TMA19
P26321,RPL5
P32787,MGM101
P04801,THS1
P26637,CDC60
P14742,GFA1
Q07896,NOC3
P05736,RPL2A
P05736,RPL2B
P38013,AHP1
P15180,KRS1
P36105,RPL14A
P02365,RPS6A
P02365,RPS6B
P37291,SHM2
P02406,RPL28
A6ZPA9,YTM1
P04451,RPL23A
P04451,RPL23B
P07991,CAR2
P28241,IDH2
P00950,GPM1
P38720,GND1
P41056,RPL33B
P41338,ERG10
P37292,SHM1
P28777,ARO2
P38286,IFA38
P36013,MAE1
P46672,ARC1
P38687,SRP68
P07280,RPS19A
Q12024,YTM1
P33442,RPS1A
P39078,CCT4
Q08492,BUD21
P14120,RPL30
P07263,HTS1
P06105,SCP160
P15624,FRS1
P49631,RPL43A
P49631,RPL43B
P39077,CCT3
P23248,RPS1B
P19358,SAM2
P26786,RPS7A
P05753,RPS4A
P05753,RPS4B
P10664,RPL4A
P07283,SEC53
P22336,RFA1
P42943,CCT7
Q12213,RPL7B
P25617,YCR016W
P05738,RPL9A
Q02892,NOG1
P04147,PAB1
P00924,ENO1
Q07362,PBP4
P0C2I0,RPL20A
P0C2I0,RPL20B
P05754,RPS8A
P05754,RPS8B
P02407,RPS17A
P26782,RPS24A
P26782,RPS24B
P39741,RPL35A
P39741,RPL35B
P05748,RPL15A
Q08972,NEW1
P53883,NOP13
P39729,RBG1
P40413,CCT5
P38088,GRS1
P0C0T4,RPS25B
Q03048,COF1
P39076,CCT2
P38061,RPL32
P14126,RPL3
Q12117,MRH1
P38708,YHR020W
P16862,PFK2
O14455,RPL36B
P38754,RPL14B
P53982,IDP3
P08566,ARO1
Q12680,GLT1
P05756,RPS13
Q07915,RLP24
P05744,RPL33A
P38707,DED81
P38219,OLA1
P47089,TMA22
Q03690,CLU1
P39954,SAH1
P10622,RPP1B
P38911,FPR3
Q08689,NAT5
Q00684,CDC14
P32861,UGP1
P17076,RPL8A
P14127,RPS17B
P26785,RPL16B
P04449,RPL24A
P20606,SAR1
P0C0W1,RPS22A
P15703,BGL2
P09440,MIS1
P05740,RPL17A
P07342,ILV2
P32827,RPS23A
P32827,RPS23B
P04456,RPL25
P53960,YNL040W
Q02753,RPL21A
P47079,CCT8
P32288,GLN1
P05749,RPL22A
P87262,RPL34A
P32529,RPA12
P41805,RPL10
P12904,SNF4
P26783,RPS5
Q08208,NOP12
P07347,ARD1
P06168,ILV5
P05739,RPL6B
P89886,TMA20
P40525,RPL34B
P07279,RPL18A
P07279,RPL18B
P0C0W9,RPL11A
P00549,CDC19
P05453,SUP35
P38701,RPS20
Q3E792,RPS25A
P22147,XRN1
A6ZV85,NOP7
P32466,HXT3
P33401,PGM1
P53914,KRE33
P32471,EFB1
P53981,YNL010W
P04807,HXK2
P07281,RPS19B
P39730,FUN12
P29453,RPL8B
Q02931,NAN1
P40991,NOP2
P0C2H7,RPL27B
Q99258,RIB3
P26781,RPS11A
P26781,RPS11B
P35271,RPS18A
P35271,RPS18B
Q3E757,RPL11B
P00942,TPI1
P48164,RPS7B
P12612,TCP1
P38912,TIF11
P18239,PET9
P38011,ASC1
P10659,SAM1
P28272,URA1
P33201,MRT4
P05319,RPP2A
Q12000,TMA46
P46654,RPS0B
P17079,RPL12A
P17079,RPL12B
P40212,RPL13B
P19097,FAS2
P47064,APS3
P39516,RPS14B
P41277,GPP1
P37262,SOL2
P05737,RPL7A
P38205,NCL1
P34241,URB1
Q02326,RPL6A
P05743,RPL26A
P53163,MNP1
P40213,RPS16A
P40213,RPS16B
Q12499,NOP58
Q01855,RPS15
P02557,TUB2
P24000,RPL24B
Q3E7Y3,RPS22B
P07262,GDH1
P53030,RPL1A
P53030,RPL1B
P00330,ADH1
P12709,PGI1
P04161,ADE8
P07284,SES1
P00925,ENO2
P46990,RPL17B
A6ZXP4,SUB2
P49167,RPL38
Q07897,CMS1
P53184,PNC1
Q3E754,RPS21B
Q12087,RPS30A
Q12087,RPS30B
P16550,APA1
P38711,RPS27B
P25379,CHA1
P32899,IMP3
P10962,MAK16
P39522,ILV3
P38625,GUA1
P18562,FUR1
P15424,MSS116
P21576,VPS1
Q03735,NAB6
P0C0V8,RPS21A
P07244,"ADE5,7"
Q07478,SUB2
P47052,YJL045W
P21524,RNR1
P15625,FRS2
P04650,RPL39
P47912,FAA4
P32449,ARO4
Q06698,YLR419W
P53941,IMP4
P35997,RPS27A
P12945,NAT1
P16387,PDA1
Q00711,SDH1
Q08925,MRN1
P38931,SSN2
Q04307,RPC11
P32349,RPC82
P25441,RPC53
P36121,RPC37
P32910,RPC34
P17890,RPC31
P47076,RPC17
Q08457,SLD7
P25348,MRPL32
P39925,AFG3
P48558,BXI1
P23641,MIR1
P50277,BIO3
P32914,SPT4
P27692,SPT5
P32804,ZRT1
P40062,YER097W
P40030,ERG28
P51533,PDR10
P36062,AVT3
Q04182,PDR15
P53756,PDR18
P40219,OSW5
P20107,ZRC1
P39109,YCF1
P32901,PTR2
Q08234,YOL075C
P41909,PXA1
P34230,PXA2
P25373,GRX1
Q08409,AUS1
P53898,NSG2
Q06644,PMT7
Q03362,YDR476C
P25371,ADP1
Q3E7B7,YDL085C-A
P07274,PFY1
P38778,SMF2
Q08777,MCH5
P39709,SEO1
Q12032,AIM41
P25376,AGP1
P38081,YBR056W
P40076,YER121W
P39962,YCK3
P23292,YCK2
Q08954,YPL199C
Q12515,PAR32
Q08971,YPL225W
P14020,DPM1
P46964,OST2
Q3E6R4,YDR524C-B
P23968,VMA16
P25515,VMA3
P0CE68,NFT1
P29704,ERG9
P39734,FRT2
Q08271,GAS4
P28707,SBA1
P49723,RNR4
P00931,TRP5
P22803,TRX2
P53156,YGL081W
Q08929,GUP2
P40056,GET2
P0CE41,HAP1
P53748,YNR062C
Q04602,VBA4
P52870,SBH1
Q12025,EMC10
P32472,FPR2
P40318,SSM4
Q99190,TSC13
P53903,PGA2
P31377,SYN8
P38335,MTC4
Q12403,ERP3
Q3E736,YOR192C-C
P08525,QCR8
P47090,YJR015W
P47185,HXT16
P32363,SPT14
Q03795,YMR155W
Q3E764,TMA7
P31381,FUN26
P40159,YNL208W
P40009,YND1
Q12155,YLR050C
P53217,YGR026W
P40319,ELO3
Q04947,RTN1
P21264,ADE2
P69851,DAD4
P43557,FMP32
P47123,MOG1
P06208,LEU4
P32911,SUI1
P0CS90,SSC1
P53200,EFM5
P32582,CYS4
P13663,HOM2
Q03161,YMR099C
Q3E795,YLR361C-A
P34167,TIF3
Q12118,SGT2
P47818,CCC1
Q02642,EGD1
P40046,VTC1
P47111,VPS55
Q03322,TLG1
P12866,STE6
P38248,ECM33
Q08193,GAS5
Q05164,HPF1
P39926,SSO2
P53155,YGL082W
P40361,YJL070C
P43610,IRC5
P38299,YBR184W
Q04964,SML1
P38697,IMD2
P39567,IMD1
P53239,COX18
P25642,IMG2
P36517,MRPL4
P36534,MRPL40
P36516,MRPL3
P32387,MRP20
P36520,MRPL10
P23369,MRPL25
Q02732,CTF19
P47167,MCM22
Q12262,MCM16
Q06675,MCM21
P38313,AME1
P38907,CHL4
P53298,OKP1
P01097,INH1
Q12330,SME1
P01098,STF1
P13902,INO4
P26798,INO2
P53115,INO80
Q12386,ARP8
Q12464,RVB2
P38144,ISW1
Q04213,IOC4
P38803,IPI1
P38883,RIX1
P38991,IPL1
P40093,YER156C
P38283,SLI15
Q07821,ISA1
Q08964,YPL216W
P48526,ISM1
Q08773,ISW2
P40366,DLS1
Q07532,IWR1
P40041,VHR2
Q03705,CGI121
P46984,GON7
P38217,KAP104
P53067,KAP114
P28003,FUN19
Q05050,EIS1
Q04336,YMR196W
P39961,TOG1
P08425,MSF1
P38079,YRO2
P36022,DYN1
P40089,LSM5
P36103,YKL023W
Q12425,ISA2
Q08199,SIL1
P19262,KGD2
P20967,KGD1
P25586,KRR1
P34253,KTI12
P32473,PDB1
P47137,YJR096W
P26754,RFA2
P40079,LCP5
Q06631,BFR2
Q08963,LEA1
Q02554,CUS1
P49955,HSH155
Q02260,SMD1
P40567,MSL1
P38439,LEO1
P89105,CTR9
P53064,RTF1
P07264,LEU1
P22438,MSM1
P40106,GPP2
P53150,LIF1
P39726,GCV3
Q06005,LIP2
P32875,LIP5
P12685,TRK1
Q07923,LOT6
P32524,PRP21
Q12149,RRP6
P53312,LSC2
P47017,LSM1
P49960,PRP24
P49704,PRP31
Q03338,PRP3
P43321,SMD3
P35719,MRP8
P26309,CDC20
Q07508,LUC7
P53207,SNU71
P32605,MUD1
P33203,PRP40
Q00916,SNP1
P38177,YBL086C
P51402,RPL37B
P49367,LYS4
P40957,MAD1
P40202,CCS1
P31539,HSP104
Q02197,MAK10
P23059,MAK31
P10662,MRP1
Q03503,MAK3
P21771,MRPS28
P38175,MRP21
O75012,MRP10
P17558,PET123
Q02950,MRP51
P27929,NAM9
P38120,MRPS9
Q03430,RSM28
P53292,MRPS35
P40496,RSM25
P36056,RSM22
Q12161,PSH1
P15442,GCN2
P40164,PSY2
P32569,SRB4
P39984,HAT2
P21827,SRM1
P33399,LHP1
P20424,SRP54
P32342,SRP21
P33296,UBC6
Q06070,YLR407W
P39708,GDH3
P22470,SAN1
P54860,UFD2
P53978,HEF3
Q03649,YMR210W
P25297,PHO84
P36160,RPF2
P38631,FKS1
P38630,RFC1
P38704,STP2
P32478,HSP150
P51401,RPL9B
P40028,YEN1
P32600,TOR2
P38193,PSY4
P32345,PPH3
P53043,PPT1
P38698,PPX1
P12383,PDR1
P53147,TOS8
Q12212,SIA1
Q05892,COQ11
P47014,YJL132W
P30657,PRE4
P25659,FUB1
P00044,CYC1
P00431,CCP1
P50102,UBP8
Q12223,RAD59
P25719,CPR3
P40005,GIM4
P46988,PFD1
P41818,GLC8
Q01329,PTA1
P36104,SWD2
P47011,GLG2
P23337,GSY1
P15303,SEC23
Q06813,YPR078C
P48365,GYP7
P47119,HAM1
P13434,HAP3
Q12341,HAT1
P38826,ORC6
P47181,YJR154W
P54784,ORC1
P50874,ORC5
P32833,ORC2
P54791,ORC4
P54790,ORC3
P20448,HCA4
P25364,HCM1
Q12483,SNF8
P25377,ADH7
P47142,VPS25
P35999,1-Oct
P53973,HDA1
Q06629,HDA2
P38199,HEK2
P32807,YKU70
P43609,RSC8
P17536,TPM1
P25646,PTC6
P40480,HOS4
P36124,SET3
P38262,SIF2
P17629,HPR1
P25555,GBP2
P38922,HRB1
P32327,PYC2
P53851,TEX1
P16120,THR4
Q03558,OYE2
P05694,MET6
Q07468,VAM6
P15700,URA6
P38786,RPP1
Q12074,SPE3
P43616,DUG1
P40825,ALA1
P00815,HIS4
Q04693,RSE1
Q99181,HSH49
P22943,HSP12
P47176,BAT2
P33759,MRPS5
P06101,CDC37
P38241,ECM2
